84	10									
1100	4.294913782E+01	2.608348691E+02	4.206900989E+02	8.817840927E-04	1.837183498E-02	1.204307578E+00	1.709987159E+00	2.598649066E+02	4.004810805E+02	
1150	4.464885317E+01	2.634093519E+02	4.213859896E+02	8.876299380E-04	1.751579816E-02	1.212290685E+00	1.709354733E+00	2.623885775E+02	4.012428217E+02	
1200	4.629396280E+01	2.659169651E+02	4.220408703E+02	8.934537038E-04	1.672823994E-02	1.220021084E+00	1.708725658E+00	2.648448207E+02	4.019669823E+02	
1250	4.788838327E+01	2.683627655E+02	4.226571655E+02	8.992627197E-04	1.600109609E-02	1.227518440E+00	1.708097343E+00	2.672386871E+02	4.026557954E+02	
1300	4.943560200E+01	2.707512739E+02	4.232370078E+02	9.050638109E-04	1.532752142E-02	1.234800259E+00	1.707467483E+00	2.695746909E+02	4.033112300E+02	
1350	5.093873882E+01	2.730865525E+02	4.237822783E+02	9.108633892E-04	1.470166704E-02	1.241882198E+00	1.706834015E+00	2.718568869E+02	4.039350278E+02	
1400	5.240059805E+01	2.753722706E+02	4.242946402E+02	9.166675346E-04	1.411850441E-02	1.248778337E+00	1.706195068E+00	2.740889360E+02	4.045287340E+02	
1450	5.382370707E+01	2.776117523E+02	4.247755654E+02	9.224820467E-04	1.357368711E-02	1.255501376E+00	1.705548934E+00	2.762741533E+02	4.050937191E+02	
1500	5.521035590E+01	2.798080278E+02	4.252263589E+02	9.283125183E-04	1.306343715E-02	1.262062839E+00	1.704894030E+00	2.784155590E+02	4.056312032E+02	
1550	5.656262457E+01	2.819638673E+02	4.256481770E+02	9.341643762E-04	1.258445534E-02	1.268473211E+00	1.704228883E+00	2.805159125E+02	4.061422712E+02	
1600	5.788240889E+01	2.840818140E+02	4.260420435E+02	9.400429284E-04	1.213384723E-02	1.274742075E+00	1.703552103E+00	2.825777453E+02	4.066278880E+02	
1650	5.917144188E+01	2.861642115E+02	4.264088639E+02	9.459534044E-04	1.170906261E-02	1.280878216E+00	1.702862368E+00	2.846033883E+02	4.070889105E+02	
1700	6.043131218E+01	2.882132273E+02	4.267494359E+02	9.519009927E-04	1.130784553E-02	1.286889721E+00	1.702158408E+00	2.865949956E+02	4.075260984E+02	
1750	6.166347992E+01	2.902308734E+02	4.270644598E+02	9.578908765E-04	1.092819273E-02	1.292784054E+00	1.701438994E+00	2.885545643E+02	4.079401225E+02	
1800	6.286929035E+01	2.922190241E+02	4.273545465E+02	9.639282669E-04	1.056831897E-02	1.298568134E+00	1.700702922E+00	2.904839532E+02	4.083315724E+02	
1850	6.404998640E+01	2.941794326E+02	4.276202243E+02	9.700184393E-04	1.022662774E-02	1.304248394E+00	1.699949007E+00	2.923848985E+02	4.087009630E+02	
1900	6.520671651E+01	2.961137404E+02	4.278619443E+02	9.761667522E-04	9.901687347E-03	1.309830824E+00	1.699176068E+00	2.942590236E+02	4.090487384E+02	
1950	6.634054575E+01	2.980234934E+02	4.280800856E+02	9.823786904E-04	9.592209429E-03	1.315321031E+00	1.698382928E+00	2.961078549E+02	4.093752772E+02	
2000	6.745246750E+01	2.999101585E+02	4.282749596E+02	9.886599192E-04	9.297030232E-03	1.320724294E+00	1.697568391E+00	2.979328387E+02	4.096808991E+02	
2050	6.854340247E+01	3.017751206E+02	4.284468121E+02	9.950162756E-04	9.015097544E-03	1.326045570E+00	1.696731248E+00	2.997353372E+02	4.099658621E+02	
2100	6.961421030E+01	3.036197000E+02	4.285958262E+02	1.001453833E-03	8.745456138E-03	1.331289546E+00	1.695870261E+00	3.015166470E+02	4.102303683E+02	
2150	7.066569377E+01	3.054451590E+02	4.287221240E+02	1.007978935E-03	8.487236833E-03	1.336460671E+00	1.694984156E+00	3.032780042E+02	4.104745648E+02	
2200	7.169860369E+01	3.072527090E+02	4.288257678E+02	1.014598237E-03	8.239646705E-03	1.341563178E+00	1.694071616E+00	3.050205928E+02	4.106985451E+02	
2250	7.271364326E+01	3.090435179E+02	4.289067603E+02	1.021318750E-03	8.001960579E-03	1.346601116E+00	1.693131269E+00	3.067455507E+02	4.109023490E+02	
2300	7.371147198E+01	3.108187170E+02	4.289650446E+02	1.028147893E-03	7.773513592E-03	1.351578368E+00	1.692161684E+00	3.084539768E+02	4.110859633E+02	
2350	7.469270912E+01	3.125794068E+02	4.290005032E+02	1.035093549E-03	7.553694680E-03	1.356498676E+00	1.691161354E+00	3.101469369E+02	4.112493207E+02	
2400	7.565793684E+01	3.143266641E+02	4.290129569E+02	1.042164129E-03	7.341940839E-03	1.361365666E+00	1.690128690E+00	3.118254702E+02	4.113922989E+02	
2450	7.660770305E+01	3.160615477E+02	4.290021625E+02	1.049368640E-03	7.137732055E-03	1.366182863E+00	1.689062010E+00	3.134905945E+02	4.115147189E+02	
2500	7.754252388E+01	3.177851050E+02	4.289678096E+02	1.056716767E-03	6.940586806E-03	1.370953718E+00	1.687959520E+00	3.151433131E+02	4.116163425E+02	
2550	7.846288697E+01	3.194983802E+02	4.289095173E+02	1.064218976E-03	6.750057851E-03	1.375681629E+00	1.686819303E+00	3.167846218E+02	4.116968698E+02	
2600	7.936924952E+01	3.212024135E+02	4.288268295E+02	1.071886583E-03	6.565729451E-03	1.380369944E+00	1.685639305E+00	3.184155084E+02	4.117559330E+02	
2650	8.026204643E+01	3.228982600E+02	4.287192089E+02	1.079731930E-03	6.387212829E-03	1.385022013E+00	1.684417308E+00	3.200369704E+02	4.117930949E+02	
2700	8.114168758E+01	3.245869896E+02	4.285860301E+02	1.087768493E-03	6.214144122E-03	1.389641193E+00	1.683150913E+00	3.216500147E+02	4.118078409E+02	
2750	8.200856057E+01	3.262696973E+02	4.284265708E+02	1.096011061E-03	6.046181444E-03	1.394230873E+00	1.681837513E+00	3.232556669E+02	4.117995718E+02	
