93	10
2500	75.494	137.0320099	249.4	0.001068	0.007467	0.4631	0.7854	134.4	230.7
2550	76.48	138.5526834	249.4	0.001074	0.007278	0.4674	0.7845	135.8	230.9
2600	77.451	140.0639184	249.5	0.001081	0.007096	0.4715	0.7835	137.3	231
2650	78.408	141.566519	249.5	0.001088	0.006919	0.4756	0.7826	138.7	231.1
2700	79.351	143.0612906	249.5	0.001095	0.006748	0.4797	0.7816	140.1	231.2
2750	80.282	144.5490448	249.4	0.001102	0.006583	0.4838	0.7806	141.5	231.3
2800	81.199	146.0306035	249.4	0.00111	0.006422	0.4878	0.7795	142.9	231.4
2850	82.103	147.5068045	249.3	0.001117	0.006266	0.4918	0.7785	144.3	231.5
2900	82.996	148.9785066	249.3	0.001125	0.006115	0.4958	0.7774	145.7	231.5
2950	83.876	150.4465957	249.2	0.001133	0.005968	0.4998	0.7763	147.1	231.5
3000	84.745	151.9119914	249	0.001141	0.005825	0.5037	0.7751	148.5	231.6
3050	85.603	153.375655	248.9	0.001149	0.005685	0.5076	0.7739	149.9	231.6
3100	86.449	154.8385972	248.7	0.001158	0.005549	0.5115	0.7727	151.2	231.5
3150	87.285	156.3018888	248.6	0.001167	0.005416	0.5154	0.7714	152.6	231.5
3200	88.11	157.7666718	248.4	0.001176	0.005287	0.5193	0.7701	154	231.4
3250	88.925	159.2341725	248.1	0.001185	0.00516	0.5232	0.7688	155.4	231.4
3300	89.73	160.7057182	247.9	0.001195	0.005036	0.5271	0.7673	156.8	231.2
3350	90.524	162.1827552	247.6	0.001205	0.004914	0.531	0.7659	158.1	231.1
3400	91.31	163.6668727	247.3	0.001215	0.004795	0.5349	0.7644	159.5	231
3450	92.085	165.1598304	246.9	0.001226	0.004678	0.5389	0.7628	160.9	230.8
3500	92.852	166.663593	246.6	0.001237	0.004562	0.5428	0.7611	162.3	230.6
3550	93.609	168.1803736	246.2	0.001249	0.004449	0.5468	0.7594	163.7	230.4
3600	94.357	169.712688	245.7	0.001261	0.004337	0.5508	0.7576	165.2	230.1
3650	95.097	171.2634251	245.2	0.001274	0.004226	0.5548	0.7557	166.6	229.8
3700	95.827	172.8359365	244.7	0.001287	0.004117	0.5589	0.7537	168.1	229.5
3750	96.55	174.4341578	244.2	0.001301	0.004008	0.5631	0.7516	169.6	229.1
3800	97.263	176.0627689	243.5	0.001316	0.0039	0.5673	0.7494	171.1	228.7
3850	97.969	177.7274166	242.8	0.001332	0.003792	0.5716	0.7471	172.6	228.2
3900	98.666	179.435027	242.1	0.001349	0.003685	0.576	0.7445	174.2	227.7
3950	99.355	181.1942584	241.3	0.001368	0.003577	0.5806	0.7418	175.8	227.1
4000	100.036	183.0161809	240.4	0.001388	0.003468	0.5853	0.7389	177.5	226.5
4050	100.709	184.915337	239.3	0.00141	0.003357	0.5902	0.7357	179.2	225.7
